received,host,jitter,packet_loss,avgping,minping,time,sent,maxping
1,192.168.123.2,0.000,0,0.073,0.073,19:8:38,1,0.073
1,192.168.123.2,0.000,0,0.054,0.054,19:8:40,1,0.054
1,192.168.123.2,0.000,0,0.061,0.061,19:8:41,1,0.061
1,192.168.123.2,0.000,0,0.057,0.057,19:8:42,1,0.057
1,192.168.123.2,0.000,0,0.063,0.063,19:8:43,1,0.063
1,192.168.123.2,0.000,0,0.051,0.051,19:8:44,1,0.051
1,192.168.123.2,0.000,0,0.057,0.057,19:8:45,1,0.057
1,192.168.123.2,0.000,0,0.052,0.052,19:8:46,1,0.052
1,192.168.123.2,0.000,0,0.055,0.055,19:8:47,1,0.055
1,192.168.123.2,0.000,0,0.056,0.056,19:8:48,1,0.056
1,192.168.123.2,0.000,0,0.052,0.052,19:8:49,1,0.052
1,192.168.123.2,0.000,0,0.054,0.054,19:8:50,1,0.054
1,192.168.123.2,0.000,0,0.055,0.055,19:8:51,1,0.055
1,192.168.123.2,0.000,0,0.050,0.050,19:8:52,1,0.050
1,192.168.123.2,0.000,0,0.055,0.055,19:8:53,1,0.055
1,192.168.123.2,0.000,0,0.050,0.050,19:8:54,1,0.050
1,192.168.123.2,0.000,0,0.094,0.094,19:8:55,1,0.094
1,192.168.123.2,0.000,0,0.057,0.057,19:8:56,1,0.057
1,192.168.123.2,0.000,0,0.061,0.061,19:8:57,1,0.061
1,192.168.123.2,0.000,0,0.126,0.126,19:8:58,1,0.126
1,192.168.123.2,0.000,0,0.069,0.069,19:8:59,1,0.069
1,192.168.123.2,0.000,0,0.073,0.073,19:9:0,1,0.073
1,192.168.123.2,0.000,0,0.102,0.102,19:9:1,1,0.102
1,192.168.123.2,0.000,0,0.058,0.058,19:9:2,1,0.058
1,192.168.123.2,0.000,0,0.160,0.160,19:9:3,1,0.160
1,192.168.123.2,0.000,0,0.075,0.075,19:9:4,1,0.075
1,192.168.123.2,0.000,0,0.074,0.074,19:9:5,1,0.074
1,192.168.123.2,0.000,0,0.083,0.083,19:9:6,1,0.083
1,192.168.123.2,0.000,0,0.168,0.168,19:9:7,1,0.168
1,192.168.123.2,0.000,0,0.075,0.075,19:9:8,1,0.075
1,192.168.123.2,0.000,0,0.058,0.058,19:9:9,1,0.058
1,192.168.123.2,0.000,0,0.053,0.053,19:9:10,1,0.053
1,192.168.123.2,0.000,0,0.049,0.049,19:9:11,1,0.049
1,192.168.123.2,0.000,0,0.051,0.051,19:9:12,1,0.051
1,192.168.123.2,0.000,0,0.381,0.381,19:9:13,1,0.381
1,192.168.123.2,0.000,0,0.058,0.058,19:9:14,1,0.058
1,192.168.123.2,0.000,0,0.070,0.070,19:9:15,1,0.070
1,192.168.123.2,0.000,0,0.052,0.052,19:9:16,1,0.052
1,192.168.123.2,0.000,0,0.055,0.055,19:9:17,1,0.055
1,192.168.123.2,0.000,0,0.049,0.049,19:9:18,1,0.049
1,192.168.123.2,0.000,0,0.078,0.078,19:9:19,1,0.078
1,192.168.123.2,0.000,0,0.052,0.052,19:9:20,1,0.052
1,192.168.123.2,0.000,0,0.053,0.053,19:9:21,1,0.053
1,192.168.123.2,0.000,0,0.057,0.057,19:9:22,1,0.057
1,192.168.123.2,0.000,0,0.049,0.049,19:9:23,1,0.049
1,192.168.123.2,0.000,0,0.079,0.079,19:9:24,1,0.079
1,192.168.123.2,0.000,0,0.053,0.053,19:9:25,1,0.053
1,192.168.123.2,0.000,0,0.078,0.078,19:9:26,1,0.078
1,192.168.123.2,0.000,0,0.054,0.054,19:9:27,1,0.054
1,192.168.123.2,0.000,0,0.059,0.059,19:9:28,1,0.059
1,192.168.123.2,0.000,0,0.051,0.051,19:9:29,1,0.051
1,192.168.123.2,0.000,0,0.063,0.063,19:9:30,1,0.063
1,192.168.123.2,0.000,0,0.052,0.052,19:9:31,1,0.052
1,192.168.123.2,0.000,0,0.059,0.059,19:9:32,1,0.059
1,192.168.123.2,0.000,0,0.050,0.050,19:9:33,1,0.050
1,192.168.123.2,0.000,0,0.077,0.077,19:9:34,1,0.077
1,192.168.123.2,0.000,0,0.065,0.065,19:9:35,1,0.065
1,192.168.123.2,0.000,0,0.055,0.055,19:9:36,1,0.055
1,192.168.123.2,0.000,0,0.055,0.055,19:9:37,1,0.055
1,192.168.123.2,0.000,0,0.051,0.051,19:9:38,1,0.051
1,192.168.123.2,0.000,0,0.056,0.056,19:9:39,1,0.056
1,192.168.123.2,0.000,0,0.067,0.067,19:9:40,1,0.067
1,192.168.123.2,0.000,0,0.059,0.059,19:9:41,1,0.059
